id,type,status,title,current_link,slug,url_path,parent_title,page_template,published_date,modified_date,categories,tags,all_wordpress_groupings,primary_structure_group
92,post,publish,"dark romance books 2026 (the ones worth clearing your schedule for)",https://bybookishbabe.com/dark-romance-books-2026-the-ones-worth-your-time/,dark-romance-books-2026-the-ones-worth-your-time,/dark-romance-books-2026-the-ones-worth-your-time/,,,"2026-05-16 20:28:04","2026-05-16 20:28:04","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
108,post,publish,"dark romance books that are actually disturbing (but you won’t stop reading)",https://bybookishbabe.com/dark-romance-books-that-are-actually-disturbing-but-you-won-t-stop-reading/,dark-romance-books-that-are-actually-disturbing-but-you-won-t-stop-reading,/dark-romance-books-that-are-actually-disturbing-but-you-won-t-stop-reading/,,,"2026-05-19 22:56:49","2026-05-19 22:56:49","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
107,post,publish,"dark romance books where he has to beg for her",https://bybookishbabe.com/dark-romance-books-where-he-has-to-beg-for-her/,dark-romance-books-where-he-has-to-beg-for-her,/dark-romance-books-where-he-has-to-beg-for-her/,,,"2026-05-19 22:56:48","2026-05-19 22:56:48","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
106,post,publish,"dark romance books where she’s trapped with him (and it changes everything)",https://bybookishbabe.com/dark-romance-books-where-she-s-trapped-with-him-and-it-changes-everything/,dark-romance-books-where-she-s-trapped-with-him-and-it-changes-everything,/dark-romance-books-where-she-s-trapped-with-him-and-it-changes-everything/,,,"2026-05-19 22:56:48","2026-05-19 22:56:48","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
114,post,publish,"dark romantasy books with morally gray love interests (the ones with actual teeth)",https://bybookishbabe.com/dark-romantasy-books-with-morally-gray-love-interests/,dark-romantasy-books-with-morally-gray-love-interests,/dark-romantasy-books-with-morally-gray-love-interests/,,,"2026-05-19 22:56:50","2026-05-19 22:56:50","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
115,post,publish,"emotional contemporary romance books that will wreck you",https://bybookishbabe.com/emotional-contemporary-romance-books-that-will-wreck-you/,emotional-contemporary-romance-books-that-will-wreck-you,/emotional-contemporary-romance-books-that-will-wreck-you/,,,"2026-05-19 22:56:51","2026-05-19 22:56:51","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
113,post,publish,"fantasy romance books that will completely consume you",https://bybookishbabe.com/fantasy-romance-books-that-will-completely-consume-you/,fantasy-romance-books-that-will-completely-consume-you,/fantasy-romance-books-that-will-completely-consume-you/,,,"2026-05-19 22:56:50","2026-05-19 22:56:50","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
86,post,publish,"haunting adeline review — h.d. carlton (spice level, tropes & is it worth it)",https://bybookishbabe.com/haunting-adeline-review-h-d-carlton-spice-level-tropes-is-it-worth-it/,haunting-adeline-review-h-d-carlton-spice-level-tropes-is-it-worth-it,/haunting-adeline-review-h-d-carlton-spice-level-tropes-is-it-worth-it/,,,"2026-05-16 20:28:02","2026-05-16 20:28:02","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
126,post,publish,"in her own league review — liz tomforde (spice level, tropes & should you read it)",https://bybookishbabe.com/in-her-own-league-by-liz-tomforde-review-tropes-and-should-you-read-it/,in-her-own-league-by-liz-tomforde-review-tropes-and-should-you-read-it,/in-her-own-league-by-liz-tomforde-review-tropes-and-should-you-read-it/,,,"2026-05-19 22:57:08","2026-05-19 22:57:08","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
109,post,publish,"is a kindle worth it or overhyped? (for heavy readers)",https://bybookishbabe.com/is-a-kindle-worth-it-or-overhyped-for-heavy-readers/,is-a-kindle-worth-it-or-overhyped-for-heavy-readers,/is-a-kindle-worth-it-or-overhyped-for-heavy-readers/,,,"2026-05-19 22:56:50","2026-05-19 22:56:50","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
89,post,publish,"kings of blackwater series review — raven wood (the dark bully romance series nobody is talking about)",https://bybookishbabe.com/kings-of-blackwater-series-review-raven-wood-the-dark-bully-romance-series-nobody-is-talking-about/,kings-of-blackwater-series-review-raven-wood-the-dark-bully-romance-series-nobody-is-talking-about,/kings-of-blackwater-series-review-raven-wood-the-dark-bully-romance-series-nobody-is-talking-about/,,,"2026-05-16 20:28:03","2026-05-16 20:28:03","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
94,post,publish,"lights out review — is it worth buying? (yes. here's why.)",https://bybookishbabe.com/lights-out-navessa-allen-review-worth-it/,lights-out-navessa-allen-review-worth-it,/lights-out-navessa-allen-review-worth-it/,,,"2026-05-16 20:28:04","2026-05-16 20:28:04","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
88,post,publish,"my dreadful darling review — h.d. carlton (spice level, tropes & should you read it)",https://bybookishbabe.com/my-dreadful-darling-review-h-d-carlton-spice-level-tropes-should-you-read-it/,my-dreadful-darling-review-h-d-carlton-spice-level-tropes-should-you-read-it,/my-dreadful-darling-review-h-d-carlton-spice-level-tropes-should-you-read-it/,,,"2026-05-16 20:28:03","2026-05-16 20:28:03","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
85,post,publish,"please don't go review — e. salvador (spice level, tropes & should you read it)",https://bybookishbabe.com/please-dont-go-review-e-salvador-spice-level-tropes-should-you-read-it/,please-dont-go-review-e-salvador-spice-level-tropes-should-you-read-it,/please-dont-go-review-e-salvador-spice-level-tropes-should-you-read-it/,,,"2026-05-16 20:28:02","2026-05-16 20:28:02","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
104,post,publish,"romance book series you won’t be able to put down",https://bybookishbabe.com/romance-book-series-you-won-t-be-able-to-put-down/,romance-book-series-you-won-t-be-able-to-put-down,/romance-book-series-you-won-t-be-able-to-put-down/,,,"2026-05-19 22:56:47","2026-05-19 22:56:47","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
105,post,publish,"romance books that feel soft but still completely addictive",https://bybookishbabe.com/romance-books-that-feel-soft-but-still-completely-addictive/,romance-books-that-feel-soft-but-still-completely-addictive,/romance-books-that-feel-soft-but-still-completely-addictive/,,,"2026-05-19 22:56:48","2026-05-19 22:56:48","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
116,post,publish,"romance books with messy relationships and emotional damage",https://bybookishbabe.com/romance-books-with-messy-relationships-and-emotional-damage/,romance-books-with-messy-relationships-and-emotional-damage,/romance-books-with-messy-relationships-and-emotional-damage/,,,"2026-05-19 22:56:51","2026-05-19 22:56:51","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
118,post,publish,"romance books with toxic but addictive relationships",https://bybookishbabe.com/romance-books-with-toxic-but-addictive-relationships/,romance-books-with-toxic-but-addictive-relationships,/romance-books-with-toxic-but-addictive-relationships/,,,"2026-05-19 22:57:06","2026-05-19 22:57:06","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
122,post,publish,"romance books you won’t stop thinking about",https://bybookishbabe.com/romance-books-you-wont-stop-thinking-about/,romance-books-you-wont-stop-thinking-about,/romance-books-you-wont-stop-thinking-about/,,,"2026-05-19 22:57:07","2026-05-19 22:57:07","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
111,post,publish,"romantasy books where he’s obsessed with her (in a dangerous way)",https://bybookishbabe.com/romantasy-books-where-he-s-obsessed-with-her-in-a-dangerous-way/,romantasy-books-where-he-s-obsessed-with-her-in-a-dangerous-way,/romantasy-books-where-he-s-obsessed-with-her-in-a-dangerous-way/,,,"2026-05-19 22:56:49","2026-05-19 22:56:49","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
117,post,publish,"second chance romance books where he has to earn her back",https://bybookishbabe.com/second-chance-romance-books-where-he-has-to-earn-her-back/,second-chance-romance-books-where-he-has-to-earn-her-back,/second-chance-romance-books-where-he-has-to-earn-her-back/,,,"2026-05-19 22:56:51","2026-05-19 22:56:51","curated romance guides",,"Categories: curated romance guides","Category: curated romance guides"
